uuid,glyphs,classes,place-name,county-iv,county,hundred-iv,hundred,coordinates-iv,coordinates,WKT
IV1680-014-49,✋,seat-baronet,Ashton,Somerset,Somerset,Whitleigh,Whitley,"51 09 2 53W","51.15 -2.88","POINT(-2.88 51.15)"
IV1680-014-50,⛪,parish,"Ashton Cantlow",Warwick,Warwickshire,Barlich-way,Barlichway,"52 18 1 37W","52.3 -1.61","POINT(-1.61 52.3)"
IV1680-014-51,①,settlement-gentlemen-1,"Ashton Chappel",Chester,Cheshire,Bucklow,Bucklow,"53 24 2 31W","53.4 -2.51","POINT(-2.51 53.4)"
IV1680-014-52,,,"Ashton Chappel",Lancaster,Lancashire,"W. Darby","West Derby","53 34 2 25W","53.56 -2.41","POINT(-2.41 53.56)"
IV1680-014-53,,,"Ashton East",Southampton,Hampshire,Wherwell,Wherwell,"51 12 1 23W","51.2 -1.38","POINT(-1.38 51.2)"
IV1680-014-54,,,"Ashton Grange",Chester,Cheshire,Bucklow,Bucklow,"53 24 2 29W","53.4 -2.48","POINT(-2.48 53.4)"
IV1680-014-55,✋,seat-baronet,"Ashton Hall",Chester,Cheshire,Bucklow,Bucklow,"53 24 2 31W","53.4 -2.51","POINT(-2.51 53.4)"
IV1680-014-56,①,settlement-gentlemen-1,"Ashton in Makerfield",Lancaster,Lancashire,"W. Darby","West Derby","53 33 2 28W","53.55 -2.46","POINT(-2.46 53.55)"
IV1680-014-57,⛪,parish,"Ashton in the Wall",Northampton,Northamptonshire,Warden,Warden,"52 13 1 12W","52.21 -1.2","POINT(-1.2 52.21)"
IV1680-014-58,②,settlement-gentlemen-2,"Ashton Keyns",Wilts,Wiltshire,Highworth,Highworth,"51 39 1 52W","51.65 -1.86","POINT(-1.86 51.65)"
IV1680-014-59,①,settlement-gentlemen-1,"Ashton Underhill",Glocester,Gloucestershire,Tewksbury,Tewkesbury,"52 02 1 52W","52.03 -1.86","POINT(-1.86 52.03)"
IV1680-014-60,①,settlement-gentlemen-1,"Ashton Underhill",Glocester,Gloucestershire,Tibolston,Tibaldstone,"52 04 1 52W","52.06 -1.86","POINT(-1.86 52.06)"
IV1680-015-01,②,settlement-gentlemen-2,"Ashton under Line",Lancaster,Lancashire,Salford,Salford,"53 34 1 54W","53.56 -1.9","POINT(-1.9 53.56)"
IV1680-015-02,①,settlement-gentlemen-1,"Ashton upon Carren",Glocester,Gloucestershire,Tewksbury,Tewkesbury,"52 01 1 57W","52.01 -1.95","POINT(-1.95 52.01)"
IV1680-015-03,①,settlement-gentlemen-1,"Ashton West",Southampton,Hampshire,Wherwell,Wherwell,"51 12 1 24W","51.2 -1.4","POINT(-1.4 51.2)"
IV1680-015-04,,,"Ash Hurst",Lancaster,Lancashire,"W. Darby","West Derby","53 40 2 35W","53.66 -2.58","POINT(-2.58 53.66)"
IV1680-015-05,①,settlement-gentlemen-1,Ashwater,Devon,Devon,"Black torringt.","Black Torrington","50 52 4 21W","50.86 -4.35","POINT(-4.35 50.86)"
IV1680-015-06,③⛨,settlement-gentlemen-3+,Ashwell,Hartford,Hertfordshire,Odsey,Wolphy,"52 02 0 08W","52.03 -0.13","POINT(-0.13 52.03)"
IV1680-015-07,,,Ashwell,Northampton,Northamptonshire,Sutton,Sutton,"52 08 1 02W","52.13 -1.03","POINT(-1.03 52.13)"
IV1680-015-08,①,settlement-gentlemen-1,Ashwell,Rutland,Rutland,Alstow,Alstoe,"52 45 0 41W","52.75 -0.68","POINT(-0.68 52.75)"
IV1680-015-09,⛪,parish,Ashwel-Thorp,Norfolk,Norfolk,Depwade,Depwade,"52 52 1 24E","52.86 1.4","POINT(1.4 52.86)"
IV1680-015-10,⛪,parish,Ashwick,Somerset,Somerset,Kilmersdon,Kilmersdon,"51 15 2 36W","51.25 -2.6","POINT(-2.6 51.25)"
IV1680-015-11,①,settlement-gentlemen-1,Ashworth,Lancaster,Lancashire,Salford,Salford,"53 39 2 01W","53.65 -2.01","POINT(-2.01 53.65)"
IV1680-015-12,ʘ,seat-gentleman,Ask,"York N.R.","Yorkshire North Riding","Gilling West",Agbrigg,"54 28 1 27W","54.46 -1.45","POINT(-1.45 54.46)"
IV1680-015-13,①,settlement-gentlemen-1,Askerton,Cumberland,Cumberland,"Eskdale Ward","Eskdale Ward","55 07 2 15W","55.11 -2.25","POINT(-2.25 55.11)"
IV1680-015-14,ʘ,seat-gentleman,"Askerton Castle",Cumberland,Cumberland,"Eskdale Ward","Eskdale Ward","55 07 2 15W","55.11 -2.25","POINT(-2.25 55.11)"
IV1680-015-15,⛪,parish,Askerwell,Dorset,Dorset,Eggarton,Eggerton,"50 49 2 47W","50.81 -2.78","POINT(-2.78 50.81)"
IV1680-015-16,①,settlement-gentlemen-1,Askew,"York N.R.","Yorkshire North Riding","Hang East","Hang East","54 20 1 18W","54.33 -1.3","POINT(-1.3 54.33)"
IV1680-015-17,①,settlement-gentlemen-1,Askham,Nottingham,Nottinghamshire,"North Clay","North Clay","53 20 0 44W","53.33 -0.73","POINT(-0.73 53.33)"
IV1680-015-18,①,settlement-gentlemen-1,Askham,Westmoreland,Westmorland,Westward,"West Ward","54 43 2 22W","54.71 -2.36","POINT(-2.36 54.71)"
IV1680-015-19,②,settlement-gentlemen-2,"Askham Brian","York E.R.","Yorkshire East Riding",Ansty,Barkston,"53 58 0 54W","53.96 -0.9","POINT(-0.9 53.96)"
IV1680-015-20,ʘ,seat-gentleman,"Askham Hospital",Nottingham,Nottinghamshire,"North Clay","North Clay","53 20 0 44W","53.33 -0.73","POINT(-0.73 53.33)"
IV1680-015-21,①,settlement-gentlemen-1,"Askham Richard","York E.R.","Yorkshire East Riding",Ansty,Barkston,"53 58 0 56W","53.96 -0.93","POINT(-0.93 53.96)"
IV1680-015-22,⛪,parish,Asking,Surry,Surrey,Blackheath,Blackheath,"51 11 0 21W","51.18 -0.35","POINT(-0.35 51.18)"
IV1680-015-23,②=,settlement-gentlemen-2|direction|market,ASKRIG,"York N.R.","Yorkshire North Riding","Hang West",Barkston,"54 23 1 47W","54.38 -1.78","POINT(-1.78 54.38)"
IV1680-015-24,①,settlement-gentlemen-1,Askwith,"York W.R.","Yorkshire West Riding",Claro,Claro,"53 59 1 24W","53.98 -1.4","POINT(-1.4 53.98)"
IV1680-015-25,①,settlement-gentlemen-1,Aslaby,"York N.R.","Yorkshire North Riding",Langbargh,Langbaurgh,"54 28 0 38W","54.46 -0.63","POINT(-0.63 54.46)"
IV1680-015-26,①,settlement-gentlemen-1,Assaby,"York N.R.","Yorkshire North Riding",Pickering,Pickering,"54 18 0 35W","54.3 -0.58","POINT(-0.58 54.3)"
IV1680-015-27,,,Aslaby,"York N.R.","Yorkshire North Riding",Whitby,"Whitby Strand","54 29 0 23W","54.48 -0.38","POINT(-0.38 54.48)"
IV1680-015-28,②,settlement-gentlemen-2,Aslackby,Lincoln,Lincolnshire,Aveland,Aveland,"52 54 0 17W","52.9 -0.28","POINT(-0.28 52.9)"
IV1680-015-29,②,settlement-gentlemen-2,Aspall,Suffolk,Suffolk,Hartesmere,Hartismere,"52 21 1 12E","52.35 1.2","POINT(1.2 52.35)"
IV1680-015-30,②,settlement-gentlemen-2,Aspatrick,Cumberland,Cumberland,"Allerdale B.","Allerdale Ward","54 53 2 58W","54.88 -2.96","POINT(-2.96 54.88)"
IV1680-015-31,①,settlement-gentlemen-1,Alpenden,Hartford,Hertfordshire,Edwinstree,Edwinstree,"51 58 0 01W","51.96 -0.01","POINT(-0.01 51.96)"
IV1680-015-32,ʘ,seat-gentleman,Aspersheles,Northumberl.,Northumberland,"Tindale Ward","Tindale Ward","54 57 1 35W","54.95 -1.58","POINT(-1.58 54.95)"
IV1680-015-33,①,settlement-gentlemen-1,Asperton,Hereford,Herefordshire,Radlow,Radlow,"52 05 2 28W","52.08 -2.46","POINT(-2.46 52.08)"
IV1680-015-34,,,Aspley,Stafford,Staffordshire,Cudleston,Cuttlestone,"52 44 2 06W","52.73 -2.1","POINT(-2.1 52.73)"
IV1680-015-35,,,Aspley,Stafford,Staffordshire,Pirehill,Pirehill,"53 00 2 11W","53 -2.18","POINT(-2.18 53)"
IV1680-015-36,,,Aspley,Warwick,Warwickshire,Barlich-way,Barlichway,"52 14 1 41W","52.23 -1.68","POINT(-1.68 52.23)"
IV1680-015-37,⛪,parish,"Aspley Guise",Bedford,Bedfordshire,Manshead,Howdenshire,"52 04 0 34W","52.06 -0.56","POINT(-0.56 52.06)"
IV1680-015-38,①,settlement-gentlemen-1,Aspy,Lincoln,Lincolnshire,Bradley,Bradley,"53 36 0 01W","53.6 -0.01","POINT(-0.01 53.6)"
IV1680-015-39,①,settlement-gentlemen-1,Aslelby,"York E.R.","Yorkshire East Riding",Howdenshire,Morley,"53 49 0 41W","53.81 -0.68","POINT(-0.68 53.81)"
IV1680-015-40,,,Assenby,"York N.R.","Yorkshire North Riding",Hallikeld,Hallikeld,"54 16 1 10W","54.26 -1.16","POINT(-1.16 54.26)"
IV1680-015-41,,,"Assenton Croß",Oxford,Oxfordshire,Pirton,Pirton,"51 36 0 49W","51.6 -0.81","POINT(-0.81 51.6)"
IV1680-015-42,①,settlement-gentlemen-1,"Assenton Nether",Oxford,Oxfordshire,Pirton,Pirton,"51 36 0 47W","51.6 -0.78","POINT(-0.78 51.6)"
IV1680-015-43,①,settlement-gentlemen-1,"Assenton Upper",Oxford,Oxfordshire,Pirton,Pirton,"51 36 0 48W","51.6 -0.8","POINT(-0.8 51.6)"
IV1680-015-44,⛪,parish,Assington,Suffolk,Suffolk,Babergh,"Bramber Rape","52 05 0 49E","52.08 0.81","POINT(0.81 52.08)"
IV1680-015-45,⛪,parish,Assington,Sussex,Sussex,Bramber,"Bramber Rape","51 00 0 20W","51 -0.33","POINT(-0.33 51)"
IV1680-015-46,①,settlement-gentlemen-1,Astackton,Nottingham,Nottinghamshire,Bingham,Bingham,"53 00 0 47W","53 -0.78","POINT(-0.78 53)"
IV1680-015-47,,,Astanton,Salop,Shropshire,Purslow,Purslow,"52 32 3 01W","52.53 -3.01","POINT(-3.01 52.53)"
IV1680-015-48,⛪,parish,Asterby,Lincoln,Lincolnshire,Gartree,Gartree,"53 20 0 01W","53.33 -0.01","POINT(-0.01 53.33)"
IV1680-015-49,①,settlement-gentlemen-1,Asterley,Salop,Shropshire,Ford,Fordingbridge,"52 42 2 53W","52.7 -2.88","POINT(-2.88 52.7)"
IV1680-015-50,①,settlement-gentlemen-1,Asthorp,Lincoln,Lincolnshire,Lawris,Lawress,"53 21 0 27W","53.35 -0.45","POINT(-0.45 53.35)"
IV1680-015-51,ʘ,seat-gentleman,Astleham,Midlesex,Middlesex,Spelthorn,Spelthorne,"51 27 0 21W","51.45 -0.35","POINT(-0.35 51.45)"
IV1680-015-52,,,Astley,Lancaster,Lancashire,Salford,Salford,"53 35 2 17W","53.58 -2.28","POINT(-2.28 53.58)"
IV1680-015-53,②,settlement-gentlemen-2,Astley,Lancaster,Lancashire,"W. Darby","West Derby","53 36 2 22W","53.6 -2.36","POINT(-2.36 53.6)"
IV1680-015-54,①,settlement-gentlemen-1,Astley,Salop,Shropshire,"S. Bradford","South Bradford","52 48 2 39W","52.8 -2.65","POINT(-2.65 52.8)"
IV1680-015-55,①,settlement-gentlemen-1,Astley,Salop,Shropshire,Wenlock,Wenlock,"52 35 2 25W","52.58 -2.41","POINT(-2.41 52.58)"
IV1680-015-56,①,settlement-gentlemen-1,Astley,Warwick,Warwickshire,Knightlow,Knightlow,"52 36 1 27W","52.6 -1.45","POINT(-1.45 52.6)"
IV1680-015-57,②,settlement-gentlemen-2,Astley,Worcester,Worcestershire,Doddington,Doddingtree,"52 21 2 12W","52.35 -2.2","POINT(-2.2 52.35)"
IV1680-015-58,①,settlement-gentlemen-1,Astol,Oxford,Oxfordshire,Bampton,Bampton,"51 48 1 30W","51.8 -1.5","POINT(-1.5 51.8)"
IV1680-015-59,①,settlement-gentlemen-1,Astol-Lye,Oxford,Oxfordshire,Bampton,Bampton,"51 48 1 29W","51.8 -1.48","POINT(-1.48 51.8)"
IV1680-015-60,①,settlement-gentlemen-1,Aston,Berks,Berkshire,Barnersh,Faircross,"51 32 0 40W","51.53 -0.66","POINT(-0.66 51.53)"
IV1680-016-01,①,settlement-gentlemen-1,Aston,Buckingham,Buckinghamshire,Colstow,Cottesloe,"51 52 0 33W","51.86 -0.55","POINT(-0.55 51.86)"
IV1680-016-02,,,Aston,Darby,Derbyshire,Appletree,Appletree,"52 59 1 42W","52.98 -1.7","POINT(-1.7 52.98)"
IV1680-016-03,,,Aston,Darby,Derbyshire,"High Peak","High Peak","53 26 1 33W","53.43 -1.55","POINT(-1.55 53.43)"
IV1680-016-04,②,settlement-gentlemen-2,Aston,Darby,Derbyshire,Morleston,Morleston,"52 54 1 17W","52.9 -1.28","POINT(-1.28 52.9)"
IV1680-016-05,ʘ,seat-gentleman,Aston,Flint,Flintshire,Prestattin,Prestatyn,"53 26 3 13W","53.43 -3.21","POINT(-3.21 53.43)"
IV1680-016-06,⛪,parish,Aston,Hartford,Hertfordshire,Brodewater,Broadwater,"51 55 0 06W","51.91 -0.1","POINT(-0.1 51.91)"
IV1680-016-07,①,settlement-gentlemen-1,Aston,Hereford,Herefordshire,Wigmore,Wigmore,"52 21 2 47W","52.35 -2.78","POINT(-2.78 52.35)"
IV1680-016-08,,,Aston,Hereford,Herefordshire,Wolphey,Wolphy,"52 17 2 45W","52.28 -2.75","POINT(-2.75 52.28)"
IV1680-016-09,①,settlement-gentlemen-1,Aston,Oxford,Oxfordshire,Bampton,Bampton,"51 44 1 26W","51.73 -1.43","POINT(-1.43 51.73)"
IV1680-016-10,①,settlement-gentlemen-1,Aston,Salop,Shropshire,Brimstry,Brimstree,"52 42 2 18W","52.7 -2.3","POINT(-2.3 52.7)"
IV1680-016-11,①,settlement-gentlemen-1,Aston,Salop,Shropshire,Munslow,Munslow,"52 35 2 52W","52.58 -2.86","POINT(-2.86 52.58)"
IV1680-016-12,①,settlement-gentlemen-1,Aston,Salop,Shropshire,Oswestrey,Oswestry,"52 54 2 59W","52.9 -2.98","POINT(-2.98 52.9)"
IV1680-016-13,①,settlement-gentlemen-1,Aston,Salop,Shropshire,Purslow,Purslow,"52 32 3 01W","52.53 -3.01","POINT(-3.01 52.53)"
IV1680-016-14,①,settlement-gentlemen-1,Aston,Salop,Shropshire,Purslow,Purslow,"52 27 2 54W","52.45 -2.9","POINT(-2.9 52.45)"
IV1680-016-15,,,Aston,Salop,Shropshire,"S. Bradford","South Bradford","52 44 2 32W","52.73 -2.53","POINT(-2.53 52.73)"
IV1680-016-16,,,Aston,Stafford,Staffordshire,Pirehill,Pirehill,"53 03 2 18W","53.05 -2.3","POINT(-2.3 53.05)"
IV1680-016-17,①,settlement-gentlemen-1,Aston,"Wight Isle",Hampshire,"W. Medine","West Medina","50 44 1 29W","50.73 -1.48","POINT(-1.48 50.73)"
IV1680-016-18,③,settlement-gentlemen-3,Aston,"York W.R.","Yorkshire West Riding",Strafford,Strafforth,"53 25 1 05W","53.41 -1.08","POINT(-1.08 53.41)"
IV1680-016-19,②,settlement-gentlemen-2,"Aston Abbots",Buckingham,Buckinghamshire,Colstow,Cottesloe,"51 54 0 43W","51.9 -0.71","POINT(-0.71 51.9)"
IV1680-016-20,②,settlement-gentlemen-2,"Aston Botterels",Salop,Shropshire,Stottesdon,Stottesden,"52 29 2 30W","52.48 -2.5","POINT(-2.5 52.48)"
IV1680-016-21,①,settlement-gentlemen-1,"Aston Church",Salop,Shropshire,"S. Bradford","South Bradford","52 47 2 20W","52.78 -2.33","POINT(-2.33 52.78)"
IV1680-016-22,②,settlement-gentlemen-2,"Aston Clinton",Buckingham,Buckinghamshire,Alesbury,Aylesbury,"51 49 0 40W","51.81 -0.66","POINT(-0.66 51.81)"
IV1680-016-23,,,"Aston Cold",Buckingham,Buckinghamshire,Alesbury,Aylesbury,"51 47 0 49W","51.78 -0.81","POINT(-0.81 51.78)"
IV1680-016-24,①,settlement-gentlemen-1,"Aston Cold",Darby,Derbyshire,Scarsdale,Scarsdale,"53 21 1 19W","53.35 -1.31","POINT(-1.31 53.35)"
IV1680-016-25,✋°,settlement-baronet,"Aston Eyre",Salop,Shropshire,Stottesdon,Stottesden,"52 33 2 30W","52.55 -2.5","POINT(-2.5 52.55)"
IV1680-016-26,①,settlement-gentlemen-1,"Aston Flamvil",Leicester,Leicestershire,Sparkingho,Sparkenhoe,"52 37 1 12W","52.61 -1.2","POINT(-1.2 52.61)"
IV1680-016-27,✋,seat-baronet,"Aston Hall",Warwick,Warwickshire,Hemlingford,Hemlingford,"52 33 1 49W","52.55 -1.81","POINT(-1.81 52.55)"
IV1680-016-28,[B],seat-baron,"Aston Hall","York W.R.","Yorkshire West Riding",Strafford,Strafforth,"53 25 1 05W","53.41 -1.08","POINT(-1.08 53.41)"
IV1680-016-29,①,settlement-gentlemen-1,"Aston Ingham",Hereford,Herefordshire,Greytree,Greytree,"51 56 2 20W","51.93 -2.33","POINT(-2.33 51.93)"
IV1680-016-30,✋°,settlement-baronet,"Aston juxta Budworth",Chester,Cheshire,Bucklow,Bucklow,"53 24 2 19W","53.4 -2.31","POINT(-2.31 53.4)"
IV1680-016-31,①,settlement-gentlemen-1,"Aston juxta Stone",Stafford,Staffordshire,Pirehill,Pirehill,"52 56 2 04W","52.93 -2.06","POINT(-2.06 52.93)"
IV1680-016-32,①,settlement-gentlemen-1,"Aston Magna",Worcester,Worcestershire,Oswalderstow,Oswaldslow,"52 00 1 38W","52 -1.63","POINT(-1.63 52)"
IV1680-016-33,①,settlement-gentlemen-1,"Aston Midle",Oxford,Oxfordshire,Wotton,Wootton,"51 58 1 15W","51.96 -1.25","POINT(-1.25 51.96)"
IV1680-016-34,①,settlement-gentlemen-1,"Aston North",Oxford,Oxfordshire,Wotton,Wootton,"51 59 1 15W","51.98 -1.25","POINT(-1.25 51.98)"
IV1680-016-35,①,settlement-gentlemen-1,"Aston Parva",Stafford,Staffordshire,Oflom,Offlow,"52 37 1 50W","52.61 -1.83","POINT(-1.83 52.61)"
IV1680-016-36,,,"Aston Parva",Stafford,Staffordshire,Pirehill,Pirehill,"52 52 2 06W","52.86 -2.1","POINT(-2.1 52.86)"
IV1680-016-37,,,"Aston Pigot",Salop,Shropshire,Chirbury,Chirbury,"52 41 2 57W","52.68 -2.95","POINT(-2.95 52.68)"
IV1680-016-38,①,settlement-gentlemen-1,"Aston Rowen",Oxford,Oxfordshire,Lewknor,Lewknor,"51 42 0 52W","51.7 -0.86","POINT(-0.86 51.7)"
IV1680-016-39,①,settlement-gentlemen-1,"Aston Rogers",Salop,Shropshire,Chirbury,Chirbury,"52 42 2 58W","52.7 -2.96","POINT(-2.96 52.7)"
IV1680-016-40,①,settlement-gentlemen-1,"Aston Somervile",Glocester,Gloucestershire,Kistgate,Kiftsgate,"52 02 1 47W","52.03 -1.78","POINT(-1.78 52.03)"
IV1680-016-41,①,settlement-gentlemen-1,"Steple Aston",Oxford,Oxfordshire,Wotton,Wootton,"51 57 1 15W","51.95 -1.25","POINT(-1.25 51.95)"
IV1680-016-42,①,settlement-gentlemen-1,"Steple Aston",Wilts,Wiltshire,Whorwelsdown,Whorwelsdown,"51 21 2 10W","51.35 -2.16","POINT(-2.16 51.35)"
IV1680-016-43,⛪,parish,"Aston Tirrell",Berks,Berkshire,Morton,Moreton,"51 35 1 03W","51.58 -1.05","POINT(-1.05 51.58)"
IV1680-016-44,⛪,parish,"Aston Under-edg",Glocester,Gloucestershire,Kistgate,Kiftsgate,"52 05 1 38W","52.08 -1.63","POINT(-1.63 52.08)"
IV1680-016-45,②,settlement-gentlemen-2,"Aston West",Wilts,Wiltshire,Whorwelsdown,Whorwelsdown,"51 21 2 11W","51.35 -2.18","POINT(-2.18 51.35)"
IV1680-016-46,②,settlement-gentlemen-2,"Wheaten Aston",Stafford,Staffordshire,Cudleston,Cuttlestone,"52 45 2 09W","52.75 -2.15","POINT(-2.15 52.75)"
IV1680-016-47,①,settlement-gentlemen-1,Astwick,Bedford,Bedfordshire,Bigleswade,Biggleswade,"52 03 0 14W","52.05 -0.23","POINT(-0.23 52.05)"
IV1680-016-48,✋°,settlement-baronet,Astwood,Buckingham,Buckinghamshire,Newport,Newport,"52 11 0 37W","52.18 -0.61","POINT(-0.61 52.18)"
IV1680-016-49,✋°,settlement-baronet,Aswardby,Lincoln,Lincolnshire,Aswardburn,Aswardhurn,"53 01 0 18W","53.01 -0.3","POINT(-0.3 53.01)"
IV1680-016-50,⛪,parish,Aswardby,Lincoln,Lincolnshire,Hill,Hill,"53 17 0 10E","53.28 0.16","POINT(0.16 53.28)"
IV1680-016-51,①,settlement-gentlemen-1,Atcham,Salop,Shropshire,"S. Bradford","South Bradford","51 44 2 38W","51.73 -2.63","POINT(-2.63 51.73)"
IV1680-016-52,,,Atford,Wilts,Wiltshire,Chipenham,Chippenham,"51 25 2 16W","51.41 -2.26","POINT(-2.26 51.41)"
IV1680-016-53,①,settlement-gentlemen-1,Atforton,Hereford,Herefordshire,Wigmore,Wigmore,"52 21 2 53W","52.35 -2.88","POINT(-2.88 52.35)"
IV1680-016-54,,,"S. Athans",Glamorgan,Glamorganshire,Cowbridg,Cowbridge,"51 29 3 27W","51.48 -3.45","POINT(-3.45 51.48)"
IV1680-016-55,①,settlement-gentlemen-1,Athel-Hampston,Dorset,Dorset,Pudleton,Piddletown,"50 48 2 22W","50.8 -2.36","POINT(-2.36 50.8)"
IV1680-016-56,,,"Ather Field","Wight Isle",Hampshire,W.Medine,"West Medina","50 36 1 21W","50.6 -1.35","POINT(-1.35 50.6)"
IV1680-016-57,①,settlement-gentlemen-1,Atherington,Devon,Devon,"N. Tauton","North Tawton","51 04 4 03W","51.06 -4.05","POINT(-4.05 51.06)"
IV1680-016-58,⛪,parish,Atherley,Salop,Shropshire,"N. Bradford","North Bradford","53 00 2 26W","53 -2.43","POINT(-2.43 53)"
IV1680-016-59,✋,seat-baronet,"Atherley House",Salop,Shropshire,"N. Bradford","North Bradford","53 00 2 26W","53 -2.43","POINT(-2.43 53)"
IV1680-016-60,③=,settlement-gentlemen-3|direction|market,ATHERSTON,Warwick,Warwickshire,Hemlingford,Hemlingford,"52 39 1 28W","52.65 -1.46","POINT(-1.46 52.65)"
IV1680-017-01,②,settlement-gentlemen-2,Atherton,Lancaster,Lancashire,"W. Darby","West Derby","53 36 2 19W","53.6 -2.31","POINT(-2.31 53.6)"
IV1680-017-02,②,settlement-gentlemen-2,Atherton,"Wight Isle",Hampshire,"E. Medine","East Medina","50 41 1 15W","50.68 -1.25","POINT(-1.25 50.68)"
IV1680-017-03,⛪,parish,Athill,"York E.R.","Yorkshire East Riding",Barkston,Barkston,"53 51 0 59W","53.85 -0.98","POINT(-0.98 53.85)"
IV1680-017-04,①,settlement-gentlemen-1,Atlow,Darby,Derbyshire,Appletree,Appletree,"53 07 1 31W","53.11 -1.51","POINT(-1.51 53.11)"
IV1680-017-05,,,Attenton,Nottingham,Nottinghamshire,Broxton,Broxtow,"52 58 1 07W","52.96 -1.11","POINT(-1.11 52.96)"
IV1680-017-06,②,settlement-gentlemen-2,Atter-Cliff,"York W.R.","Yorkshire West Riding",Strafford,Strafforth,"53 25 1 11W","53.41 -1.18","POINT(-1.18 53.41)"
IV1680-017-07,,,Atterton,Leicester,Leicestershire,Sparkingho,Sparkenhoe,"52 39 1 27W","52.65 -1.45","POINT(-1.45 52.65)"
IV1680-017-08,①,settlement-gentlemen-1,Attington,Worcester,Worcestershire,Worcester,"City Of Worcester","52 17 2 06W","52.28 -2.1","POINT(-2.1 52.28)"
IV1680-017-09,✋°=,settlement-baronet|direction|market,ATTLEBOROUGH,Norfolk,Norfolk,Shropham,Shropham,"52 35 1 05E","52.58 1.08","POINT(1.08 52.58)"
IV1680-017-10,⛪,parish,Attleborough,Norfolk,Norfolk,Shropham,Shropham,"52 35 1 05E","52.58 1.08","POINT(1.08 52.58)"
IV1680-017-11,①,settlement-gentlemen-1,Attleborough,Warwick,Warwickshire,Hemlingford,Hemlingford,"52 37 1 23W","52.61 -1.38","POINT(-1.38 52.61)"
IV1680-017-12,②,settlement-gentlemen-2,Attlebridg,Norfolk,Norfolk,Taverham,Taverham,"52 43 1 09E","52.71 1.15","POINT(1.15 52.71)"
IV1680-017-13,,,Atton,Salop,Shropshire,Oswestry,Oswestry,"52 53 2 56W","52.88 -2.93","POINT(-2.93 52.88)"
IV1680-017-14,①,settlement-gentlemen-1,Atwick,"York E.R.","Yorkshire East Riding",Holderneß,Holderness,"54 00 0 00","54 0","POINT(0 54)"
IV1680-017-15,②,settlement-gentlemen-2,Atwood,Worcester,Worcestershire,Worcester,"City Of Worcester","52 14 2 05W","52.23 -2.08","POINT(-2.08 52.23)"
IV1680-017-16,⸸°,settlement-knight,Auburn,Lincoln,Lincolnshire,Boothby,Boothby,"53 12 0 29W","53.2 -0.48","POINT(-0.48 53.2)"
IV1680-017-17,①=,settlement-gentlemen-1|direction|market,AUBURN,Wilts,Wiltshire,Ramsbury,Ramsbury,"51 32 1 33W","51.53 -1.55","POINT(-1.55 51.53)"
IV1680-017-18,①,settlement-gentlemen-1,Auburn,"York E.R.","Yorkshire East Riding",Dickering,Pickering,"54 07 0 00","54.11 0","POINT(0 54.11)"
IV1680-017-19,①,settlement-gentlemen-1,Audlem,Chester,Cheshire,Namptwich,Nantwich,"53 03 2 26W","53.05 -2.43","POINT(-2.43 53.05)"
IV1680-017-20,,,Audley,Devon,Devon,Shebbear,Shebbear,"51 05 4 17W","51.08 -4.28","POINT(-4.28 51.08)"
IV1680-017-21,②,settlement-gentlemen-2,Audley,Stafford,Staffordshire,Pirehill,Pirehill,"53 06 2 09W","53.1 -2.15","POINT(-2.15 53.1)"
IV1680-017-22,[K],seat-king,"Audley End",Essex,Essex,Utlesford,Uttlesford,"52 03 0 14E","52.05 0.23","POINT(0.23 52.05)"
IV1680-017-23,⸸,seat-knight,Audrey,Somerset,Somerset,Whitleigh,Whitley,"51 05 2 58W","51.08 -2.96","POINT(-2.96 51.08)"
IV1680-017-24,,,Aveley,Salop,Shropshire,Stottesdon,Stottesden,"52 29 2 16W","52.48 -2.26","POINT(-2.26 52.48)"
IV1680-017-25,①,settlement-gentlemen-1,Avenbury,Hereford,Herefordshire,"Brox Ash",Broxash,"52 12 2 25W","52.2 -2.41","POINT(-2.41 52.2)"
IV1680-017-26,②,settlement-gentlemen-2,Avening,Glocester,Gloucestershire,Longtree,Langtree,"51 42 2 09W","51.7 -2.15","POINT(-2.15 51.7)"
IV1680-017-27,⛪,parish,Averham,Nottingham,Nottinghamshire,Thurgarton,Thurgarton,"53 08 0 43W","53.13 -0.71","POINT(-0.71 53.13)"
IV1680-017-28,[B],seat-baron,"Averham Hall",Nottingham,Nottinghamshire,Thurgarton,Thurgarton,"53 08 0 43W","53.13 -0.71","POINT(-0.71 53.13)"
IV1680-017-29,,,Averston,"Wight Isle",Hampshire,"E. Medine","East Medina","50 39 1 10W","50.65 -1.16","POINT(-1.16 50.65)"
IV1680-017-30,②,settlement-gentlemen-2,Aveton-Gifford,Devon,Devon,Armington,Ermington,"50 24 4 04W","50.4 -4.06","POINT(-4.06 50.4)"
IV1680-017-31,①,settlement-gentlemen-1,Aughton,Lancaster,Lancashire,Loynsdale,"Lonsdale Ward","54 11 2 25W","54.18 -2.41","POINT(-2.41 54.18)"
IV1680-017-32,①,settlement-gentlemen-1,Aughton,Lancaster,Lancashire,"W. Darby","West Derby","53 39 2 44W","53.65 -2.73","POINT(-2.73 53.65)"
IV1680-017-33,⛪,parish,Aughton,"York E.R.","Yorkshire East Riding",Harthill,Harthill,"53 54 0 39W","53.9 -0.65","POINT(-0.65 53.9)"
