uuid,glyphs,classes,place-name,county-iv,county,hundred-iv,hundred,coordinates-iv,coordinates,WKT
IV1680-317-17,①,settlement-gentlemen-1,Sinnington,"York N.R.","Yorkshire North Riding",Pickering,Pickering,"54 19 0 36W","54.31 -0.6","POINT(-0.6 54.31)"
IV1680-317-18,[E],seat-earl,Sion,Midlesex,Middlesex,Elthorn,Elthorne,"51 31 0 15W","51.51 -0.25","POINT(-0.25 51.51)"
IV1680-317-19,③⛨⚓,settlement-gentlemen-3+|seaport,"Sion Colledg",Midlesex,Middlesex,"Cityof LOND.",London,"51 32 0 00","51.53 0","POINT(0 51.53)"
IV1680-317-20,①,settlement-gentlemen-1,Sipnam,Buckingham,Buckinghamshire,Burnham,Cheltenham,"51 32 0 33W","51.53 -0.55","POINT(-0.55 51.53)"
IV1680-317-21,①,settlement-gentlemen-1,Sipson,Midlesex,Middlesex,Elthorn,Elthorne,"51 31 0 22W","51.51 -0.36","POINT(-0.36 51.51)"
IV1680-317-22,,,"St. Sirian",Anglesey,Anglesey,Tindaythwy,Tindaethwy,"53 30 3 52W","53.5 -3.86","POINT(-3.86 53.5)"
IV1680-317-23,①,settlement-gentlemen-1,Siserge,Westmorland,Westmorland,"Kendal Ward","Kendal Ward","54 24 2 30W","54.4 -2.5","POINT(-2.5 54.4)"
IV1680-317-24,,,Sisewell,Suffolk,Suffolk,Blithing,Blything,"52 21 1 40E","52.35 1.66","POINT(1.66 52.35)"
IV1680-317-25,⛪,parish,Sisland,Norfolk,Norfolk,Clavering,Clavering,"52 40 1 26E","52.66 1.43","POINT(1.43 52.66)"
IV1680-317-26,✋,seat-baronet,Sissingherst,Kent,Kent,"Scray Lath","Scray Lath","51 08 0 33E","51.13 0.55","POINT(0.55 51.13)"
IV1680-317-27,,,Sister-houses,Pembrock,Pembrokeshire,Narbarth,Narberth,"51 55 4 42W","51.91 -4.7","POINT(-4.7 51.91)"
IV1680-317-28,②,settlement-gentlemen-2,Siston,Glocester,Gloucestershire,"Puckle Church",Pucklechurch,"51 31 2 29W","51.51 -2.48","POINT(-2.48 51.51)"
IV1680-317-29,③,settlement-gentlemen-3,Sithny,Cornwall,Cornwall,Kerryer,"Allerdale Ward","50 22 5 37W","50.36 -5.61","POINT(-5.61 50.36)"
IV1680-317-30,③=,settlement-gentlemen-3|direction,Sittingborn,Kent,Kent,"Scray Lath","Scray Lath","51 21 0 42E","51.35 0.7","POINT(0.7 51.35)"
