IV1680-002-14,"settlement-gentlemen-2","Abornol","Sussex",""Arundel Rape"","[51.06, -0.48]","[51.0344, -0.551832]","POINT(-0.551832 51.0344)"
IV1680-002-15,"","Aborrows","Cornwall",""Allerdale Ward"","[50.51, -5.36]","[50.2544, -5.08726]","POINT(-5.08726 50.2544)"
IV1680-002-16,"settlement-gentlemen-1","Abram","Lancashire",""West Derby"","[53.58, -2.43]","[53.508, -2.59586]","POINT(-2.59586 53.508)"
IV1680-002-17,"settlement-gentlemen-3+",""Abrey Hatch"","Essex","Becontree","[51.63, 0.13]","[51.6116, 0.0680307]","POINT(0.0680307 51.6116)"
IV1680-002-18,"seat-gentleman","Abrightlee","Shropshire","Shrewsbury","[52.81, -2.71]","[52.7401, -2.74855]","POINT(-2.74855 52.7401)"
IV1680-002-19,"seat-gentleman","Abroke","Surrey","Elmbridge","[51.4, -0.26]","[51.3592, -0.32239]","POINT(-0.32239 51.3592)"
IV1680-002-20,"seat-gentleman","Abscourt","Surrey","Elmbridge","[51.43, -0.3]","[51.3924, -0.383907]","POINT(-0.383907 51.3924)"
IV1680-002-21,"","Absheales","Northumberland",""Morpeth Ward"","[55.26, -1.25]","[55.1847, -1.65164]","POINT(-1.65164 55.1847)"
IV1680-002-22,"","Abshot","Hampshire","Titchfield","[50.86, -1.25]","[50.8247, -1.26858]","POINT(-1.26858 50.8247)"
IV1680-002-23,"","Abton","Shropshire","Wenlock","[52.5, -2.6]","[52.4683, -2.63245]","POINT(-2.63245 52.4683)"
IV1680-002-24,"","Abury","Wiltshire","Selkley","[51.45, -1.83]","[51.481, -1.64577]","POINT(-1.64577 51.481)"
IV1680-002-25,"parish","Aby","Lincolnshire","Calceworth","[53.35, 0.2]","[53.2635, 0.109781]","POINT(0.109781 53.2635)"
IV1680-002-26,"parish","Acaster",""Yorkshire West Riding"","Barkston","[53.93, -0.85]","[53.8701, -1.11113]","POINT(-1.11113 53.8701)"
IV1680-002-27,"settlement-gentlemen-1","Acaster-Over",""Yorkshire East Riding"","Barkston","[53.95, -0.85]","[53.8946, -1.1017]","POINT(-1.1017 53.8946)"
IV1680-002-28,"settlement-gentlemen-2","Accle","Norfolk","Blofield","[51.78, 1.58]","[51.7034, 1.58152]","POINT(1.58152 51.7034)"
IV1680-002-29,"settlement-gentlemen-1",""Accrington New"","Lancashire","Blackbourn","[53.86, -2.13]","[53.7639, -2.27655]","POINT(-2.27655 53.7639)"
IV1680-002-30,"settlement-gentlemen-1",""Accrington old"","Lancashire","Blackbourn","[53.85, -2.11]","[53.764, -2.27357]","POINT(-2.27357 53.764)"
IV1680-002-31,"parish","Achurch","Northamptonshire","Navisford","[52.45, -0.43]","[52.4595, -0.504176]","POINT(-0.504176 52.4595)"
IV1680-002-32,"settlement-gentlemen-1","Ackeld","Northumberland",""Glendale Ward"","[55.7, -1.36]","[55.5614, -1.7955]","POINT(-1.7955 55.5614)"
IV1680-002-33,"parish","Acklam",""Yorkshire East Riding"","Buckrose","[54.1, -0.55]","[53.9978, -0.776678]","POINT(-0.776678 53.9978)"
IV1680-002-34,"settlement-knight","Acklam",""Yorkshire North Riding"","Langbaurgh","[54.56, -0.9]","[54.5419, -1.23872]","POINT(-1.23872 54.5419)"
IV1680-002-35,"settlement-gentlemen-1","Ackley","Buckinghamshire","Buckingham","[52.05, -0.85]","[52.0331, -0.896562]","POINT(-0.896562 52.0331)"
IV1680-002-36,"settlement-gentlemen-2","Ackworth",""Yorkshire West Riding"","Osgoldcross","[53.75, -1.1]","[53.6597, -1.33991]","POINT(-1.33991 53.6597)"
IV1680-002-37,"",""Ackworth Halse"",""Yorkshire West Riding"","Osgoldcross","[53.71, -1.11]","[53.6232, -1.32121]","POINT(-1.32121 53.6232)"
IV1680-002-38,"settlement-gentlemen-1",""Ackworth Lower"",""Yorkshire West Riding"","Osgoldcross","[53.71, -1.08]","[53.6284, -1.29668]","POINT(-1.29668 53.6284)"
IV1680-002-39,"",""Ackworth More"",""Yorkshire West Riding"","Osgoldcross","[53.71, -1.1]","[53.6247, -1.31184]","POINT(-1.31184 53.6247)"
IV1680-002-40,"settlement-gentlemen-2","Acle","Gloucestershire","Cheltenham","[51.88, -1.95]","[51.9026, -2.07822]","POINT(-2.07822 51.9026)"
IV1680-002-41,"","Acleton","Shropshire","Stottesden","[52.6, -2.3]","[52.5803, -2.34939]","POINT(-2.34939 52.5803)"
IV1680-002-42,"settlement-gentlemen-3+","Acliff","Durham",""Darlington Ward"","[54.63, -1.2]","[54.5915, -1.54329]","POINT(-1.54329 54.5915)"
IV1680-002-43,"settlement-gentlemen-1","Acol","Kent",""St Augustine Lath"","[51.36, 1.28]","[51.3565, 1.34098]","POINT(1.34098 51.3565)"
IV1680-002-44,"settlement-gentlemen-1","Acomb","Northumberland",""Tindale Ward"","[55.08, -1.61]","[54.995, -2.07055]","POINT(-2.07055 54.995)"
IV1680-002-45,"seat-baron","Aconbury","Herefordshire","Greytree","[52.01, -2.63]","[51.9826, -2.6945]","POINT(-2.6945 51.9826)"
IV1680-002-46,"settlement-gentlemen-1","Acryse","Kent",""Shepway Lath"","[51.13, 1.1]","[51.1763, 1.15027]","POINT(1.15027 51.1763)"
IV1680-002-47,"settlement-gentlemen-1","Acton","Cheshire","Eddisbury","[53.38, -2.61]","[53.2684, -2.78586]","POINT(-2.78586 53.2684)"
IV1680-002-48,"parish","Acton","Cheshire","Nantwich","[53.15, -2.48]","[53.0748, -2.55336]","POINT(-2.55336 53.0748)"
IV1680-002-49,"parish","Acton","Cumberland",""Cumberland Ward"","[54.96, -2.71]","[54.9065, -3.10086]","POINT(-3.10086 54.9065)"
IV1680-002-50,"seat-gentleman","Acton","Denbighshire","Bromfield","[53.16, -2.9]","[53.0497, -2.98995]","POINT(-2.98995 53.0497)"
IV1680-002-51,"settlement-gentlemen-1","Acton","Gloucestershire","Thornbury","[51.61, -2.55]","[51.5482, -2.45973]","POINT(-2.45973 51.5482)"
IV1680-002-52,"settlement-gentlemen-1","Acton","Kent",""Scray Lath"","[51.16, 0.71]","[51.178, 0.761399]","POINT(0.761399 51.178)"
IV1680-002-53,"settlement-gentlemen-1","Acton","Northumberland",""Coquetdale Ward"","[55.36, -1.16]","[55.2727, -1.52329]","POINT(-1.52329 55.2727)"
IV1680-002-54,"","Acton","Shropshire","Purslow","[52.46, -3]","[52.4478, -3.01577]","POINT(-3.01577 52.4478)"
IV1680-002-55,"settlement-gentlemen-1","Acton","Staffordshire","Pirehill","[53.03, -2.15]","[53.143, -2.19093]","POINT(-2.19093 53.143)"
IV1680-002-56,"settlement-gentlemen-2","Acton","Suffolk",""Bramber Rape"","[52.13, 0.75]","[52.0701, 0.779284]","POINT(0.779284 52.0701)"
IV1680-002-57,"settlement-gentlemen-1",""Acton Beauchamp"","Worcestershire",""City Of Worcester"","[52.25, -1.48]","[52.2801, -1.62587]","POINT(-1.62587 52.2801)"
IV1680-002-58,"settlement-gentlemen-1",""Acton Burnel"","Shropshire","Condover","[52.65, -2.63]","[52.5527, -2.64306]","POINT(-2.64306 52.5527)"
IV1680-002-59,"settlement-baronet|settlement-gentlemen-3+|seat-knight",""Acton East"","Middlesex","Westminster","[51.55, -0.16]","[51.5369, -0.242556]","POINT(-0.242556 51.5369)"
IV1680-002-60,"",""Acton Grange"","Cheshire","Bucklow","[53.46, -2.43]","[53.5402, -2.62101]","POINT(-2.62101 53.5402)"
IV1680-003-01,"settlement-gentlemen-1",""Acton Higher"","Gloucestershire",""Grumbalds Ash"","[51.61, -2.38]","[51.5631, -2.35874]","POINT(-2.35874 51.5631)"
IV1680-003-02,"seat-baronet",""Acton Reynold"","Shropshire","Pimhill","[52.86, -2.66]","[52.8027, -2.68606]","POINT(-2.68606 52.8027)"
IV1680-003-03,"parish",""Acton Scot"","Shropshire","Munslow","[52.53, -2.76]","[52.4971, -2.77138]","POINT(-2.77138 52.4971)"
